year,predicted_score,country_code,country_name
2036,62.09,COM,Comoros
2037,62.45,COM,Comoros
2038,62.8,COM,Comoros
2039,63.14,COM,Comoros
2040,63.48,COM,Comoros
2024,5.71,CPV,Cabo Verde
2025,5.71,CPV,Cabo Verde
2026,5.71,CPV,Cabo Verde
2027,5.71,CPV,Cabo Verde
2028,5.71,CPV,Cabo Verde
2029,59.74,CPV,Cabo Verde
2030,60.13,CPV,Cabo Verde
2031,60.52,CPV,Cabo Verde
2032,60.89,CPV,Cabo Verde
2033,61.27,CPV,Cabo Verde
2034,61.64,CPV,Cabo Verde
2035,62.0,CPV,Cabo Verde
2036,62.37,CPV,Cabo Verde
2037,62.72,CPV,Cabo Verde
2038,63.08,CPV,Cabo Verde
2039,63.42,CPV,Cabo Verde
2040,63.77,CPV,Cabo Verde
2024,67.07,CRI,Costa Rica
2025,65.67,CRI,Costa Rica
2026,62.67,CRI,Costa Rica
2027,59.13,CRI,Costa Rica
2028,59.38,CRI,Costa Rica
2029,59.73,CRI,Costa Rica
2030,60.09,CRI,Costa Rica
2031,60.45,CRI,Costa Rica
2032,60.81,CRI,Costa Rica
2033,61.18,CRI,Costa Rica
2034,61.56,CRI,Costa Rica
2035,61.95,CRI,Costa Rica
2036,62.33,CRI,Costa Rica
2037,62.72,CRI,Costa Rica
2038,63.11,CRI,Costa Rica
2039,63.5,CRI,Costa Rica
2040,63.89,CRI,Costa Rica
2024,5.71,CSS,Caribbean small states
2025,5.71,CSS,Caribbean small states
2026,5.71,CSS,Caribbean small states
2027,5.71,CSS,Caribbean small states
2028,5.71,CSS,Caribbean small states
2029,60.71,CSS,Caribbean small states
2030,61.11,CSS,Caribbean small states
2031,61.5,CSS,Caribbean small states
2032,61.89,CSS,Caribbean small states
2033,62.27,CSS,Caribbean small states
2034,62.65,CSS,Caribbean small states
2035,63.03,CSS,Caribbean small states
2036,63.4,CSS,Caribbean small states
2037,63.76,CSS,Caribbean small states
2038,64.12,CSS,Caribbean small states
2039,64.48,CSS,Caribbean small states
2040,64.83,CSS,Caribbean small states
2024,5.71,CUB,Cuba
2025,5.71,CUB,Cuba
2026,5.71,CUB,Cuba
2027,5.71,CUB,Cuba
2028,5.71,CUB,Cuba
2029,61.02,CUB,Cuba
2030,61.41,CUB,Cuba
2031,61.8,CUB,Cuba
2032,62.18,CUB,Cuba
2033,62.56,CUB,Cuba
2034,62.93,CUB,Cuba
2035,63.3,CUB,Cuba
2036,63.67,CUB,Cuba
2037,64.03,CUB,Cuba
2038,64.38,CUB,Cuba
2039,64.74,CUB,Cuba
2040,65.08,CUB,Cuba
2024,40.0,CUW,Curacao
2025,44.21,CUW,Curacao
2026,49.37,CUW,Curacao
2027,55.36,CUW,Curacao
2028,55.48,CUW,Curacao
2029,55.83,CUW,Curacao
2030,56.19,CUW,Curacao
2031,56.57,CUW,Curacao
2032,56.95,CUW,Curacao
2033,57.33,CUW,Curacao
2034,57.71,CUW,Curacao
2035,58.1,CUW,Curacao
2036,58.48,CUW,Curacao
2037,58.87,CUW,Curacao
2038,59.26,CUW,Curacao
2039,59.66,CUW,Curacao
2040,60.05,CUW,Curacao
2024,5.71,CYM,Cayman Islands
2025,5.71,CYM,Cayman Islands
2026,5.71,CYM,Cayman Islands
2027,5.71,CYM,Cayman Islands
2028,5.71,CYM,Cayman Islands
2029,65.62,CYM,Cayman Islands
2030,66.02,CYM,Cayman Islands
2031,66.43,CYM,Cayman Islands
2032,66.82,CYM,Cayman Islands
2033,67.22,CYM,Cayman Islands
2034,67.61,CYM,Cayman Islands
2035,67.99,CYM,Cayman Islands
2036,68.36,CYM,Cayman Islands
2037,68.74,CYM,Cayman Islands
2038,69.1,CYM,Cayman Islands
2039,69.46,CYM,Cayman Islands
2040,69.82,CYM,Cayman Islands
2024,53.11,CYP,Cyprus
2025,55.26,CYP,Cyprus
2026,56.66,CYP,Cyprus
2027,58.22,CYP,Cyprus
2028,58.58,CYP,Cyprus
2029,58.96,CYP,Cyprus
2030,59.35,CYP,Cyprus
2031,59.73,CYP,Cyprus
2032,60.13,CYP,Cyprus
2033,60.52,CYP,Cyprus
2034,60.92,CYP,Cyprus
2035,61.31,CYP,Cyprus
2036,61.71,CYP,Cyprus
2037,62.11,CYP,Cyprus
2038,62.52,CYP,Cyprus
2039,62.93,CYP,Cyprus
2040,63.35,CYP,Cyprus
2024,50.77,CZE,Czechia
2025,52.06,CZE,Czechia
2026,53.15,CZE,Czechia
2027,54.72,CZE,Czechia
2028,55.29,CZE,Czechia
2029,55.67,CZE,Czechia
2030,56.06,CZE,Czechia
2031,56.45,CZE,Czechia
2032,56.86,CZE,Czechia
2033,57.26,CZE,Czechia
2034,57.67,CZE,Czechia
2035,58.08,CZE,Czechia
2036,58.49,CZE,Czechia
2037,58.9,CZE,Czechia
2038,59.31,CZE,Czechia
2039,59.73,CZE,Czechia
2040,60.14,CZE,Czechia
2024,53.51,DEU,Germany
2025,54.62,DEU,Germany
2026,55.32,DEU,Germany
2027,56.68,DEU,Germany
2028,57.37,DEU,Germany
2029,57.82,DEU,Germany
2030,58.28,DEU,Germany
2031,58.74,DEU,Germany
2032,59.21,DEU,Germany
2033,59.68,DEU,Germany
2034,60.14,DEU,Germany
2035,60.61,DEU,Germany
2036,61.07,DEU,Germany
2037,61.52,DEU,Germany
2038,61.93,DEU,Germany
2039,62.3,DEU,Germany
2040,62.66,DEU,Germany
2024,5.71,DJI,Djibouti
2025,5.71,DJI,Djibouti
2026,5.71,DJI,Djibouti
2027,5.71,DJI,Djibouti
2028,5.71,DJI,Djibouti
2029,59.63,DJI,Djibouti
2030,60.02,DJI,Djibouti
2031,60.4,DJI,Djibouti
2032,60.78,DJI,Djibouti
2033,61.15,DJI,Djibouti
2034,61.52,DJI,Djibouti
2035,61.89,DJI,Djibouti
2036,62.25,DJI,Djibouti
2037,62.6,DJI,Djibouti
2038,62.95,DJI,Djibouti
2039,63.3,DJI,Djibouti
2040,63.65,DJI,Djibouti
2024,5.71,DMA,Dominica
2025,5.71,DMA,Dominica
2026,5.71,DMA,Dominica
2027,5.71,DMA,Dominica
2028,5.71,DMA,Dominica
2029,60.14,DMA,Dominica
2030,60.53,DMA,Dominica
2031,60.92,DMA,Dominica
2032,61.3,DMA,Dominica
2033,61.68,DMA,Dominica
2034,62.05,DMA,Dominica
2035,62.42,DMA,Dominica
2036,62.79,DMA,Dominica
2037,63.15,DMA,Dominica
2038,63.5,DMA,Dominica
2039,63.86,DMA,Dominica
2040,64.21,DMA,Dominica
2024,68.46,DNK,Denmark
2025,66.71,DNK,Denmark
2026,63.1,DNK,Denmark
2027,57.82,DNK,Denmark
2028,58.14,DNK,Denmark
2029,58.57,DNK,Denmark
2030,59.01,DNK,Denmark
2031,59.46,DNK,Denmark
2032,59.9,DNK,Denmark
2033,60.34,DNK,Denmark
2034,60.78,DNK,Denmark
2035,61.23,DNK,Denmark
2036,61.67,DNK,Denmark
2037,62.11,DNK,Denmark
2038,62.55,DNK,Denmark
2039,62.99,DNK,Denmark
2040,63.44,DNK,Denmark
2024,55.49,DOM,Dominican Republic
2025,56.58,DOM,Dominican Republic
2026,57.49,DOM,Dominican Republic
2027,59.19,DOM,Dominican Republic
2028,59.43,DOM,Dominican Republic
2029,59.77,DOM,Dominican Republic
2030,60.11,DOM,Dominican Republic
2031,60.45,DOM,Dominican Republic
2032,60.79,DOM,Dominican Republic
2033,61.14,DOM,Dominican Republic
2034,61.51,DOM,Dominican Republic
2035,61.88,DOM,Dominican Republic
2036,62.25,DOM,Dominican Republic
2037,62.62,DOM,Dominican Republic
2038,62.99,DOM,Dominican Republic
2039,63.37,DOM,Dominican Republic
2040,63.74,DOM,Dominican Republic
2024,42.91,DZA,Algeria
2025,47.07,DZA,Algeria
2026,52.49,DZA,Algeria
2027,58.78,DZA,Algeria
2028,59.12,DZA,Algeria
2029,59.45,DZA,Algeria
2030,59.78,DZA,Algeria
2031,60.12,DZA,Algeria
2032,60.47,DZA,Algeria
2033,60.82,DZA,Algeria
2034,61.18,DZA,Algeria
2035,61.54,DZA,Algeria
2036,61.91,DZA,Algeria
2037,62.27,DZA,Algeria
2038,62.64,DZA,Algeria
2039,63.01,DZA,Algeria
2040,63.38,DZA,Algeria
2024,54.02,EAP,East Asia & Pacific (excluding high income)
2025,54.9,EAP,East Asia & Pacific (excluding high income)
2026,55.86,EAP,East Asia & Pacific (excluding high income)
2027,55.78,EAP,East Asia & Pacific (excluding high income)
2028,55.84,EAP,East Asia & Pacific (excluding high income)
2029,56.18,EAP,East Asia & Pacific (excluding high income)
2030,56.52,EAP,East Asia & Pacific (excluding high income)
2031,56.86,EAP,East Asia & Pacific (excluding high income)
2032,57.21,EAP,East Asia & Pacific (excluding high income)
2033,57.56,EAP,East Asia & Pacific (excluding high income)
2034,57.91,EAP,East Asia & Pacific (excluding high income)
2035,58.27,EAP,East Asia & Pacific (excluding high income)
2036,58.64,EAP,East Asia & Pacific (excluding high income)
2037,59.02,EAP,East Asia & Pacific (excluding high income)
2038,59.39,EAP,East Asia & Pacific (excluding high income)
2039,59.77,EAP,East Asia & Pacific (excluding high income)
2040,60.15,EAP,East Asia & Pacific (excluding high income)
2024,61.63,EAR,Early-demographic dividend
2025,61.13,EAR,Early-demographic dividend
2026,59.93,EAR,Early-demographic dividend
2027,60.01,EAR,Early-demographic dividend
2028,60.18,EAR,Early-demographic dividend
2029,60.51,EAR,Early-demographic dividend
2030,60.85,EAR,Early-demographic dividend
2031,61.19,EAR,Early-demographic dividend
2032,61.53,EAR,Early-demographic dividend
2033,61.87,EAR,Early-demographic dividend
2034,62.22,EAR,Early-demographic dividend
2035,62.57,EAR,Early-demographic dividend
2036,62.93,EAR,Early-demographic dividend
2037,63.28,EAR,Early-demographic dividend
2038,63.64,EAR,Early-demographic dividend
2039,64.0,EAR,Early-demographic dividend
2040,64.36,EAR,Early-demographic dividend
2024,52.81,EAS,East Asia & Pacific
2025,54.14,EAS,East Asia & Pacific
2026,55.61,EAS,East Asia & Pacific
2027,55.56,EAS,East Asia & Pacific
2028,55.63,EAS,East Asia & Pacific
2029,55.96,EAS,East Asia & Pacific
2030,56.3,EAS,East Asia & Pacific
2031,56.64,EAS,East Asia & Pacific
2032,56.99,EAS,East Asia & Pacific
2033,57.34,EAS,East Asia & Pacific
2034,57.69,EAS,East Asia & Pacific
2035,58.04,EAS,East Asia & Pacific
2036,58.4,EAS,East Asia & Pacific
2037,58.76,EAS,East Asia & Pacific
2038,59.13,EAS,East Asia & Pacific
2039,59.51,EAS,East Asia & Pacific
2040,59.89,EAS,East Asia & Pacific
2024,51.34,ECA,Europe & Central Asia (excluding high income)
2025,53.94,ECA,Europe & Central Asia (excluding high income)
2026,57.13,ECA,Europe & Central Asia (excluding high income)
2027,57.39,ECA,Europe & Central Asia (excluding high income)
2028,57.61,ECA,Europe & Central Asia (excluding high income)
2029,57.94,ECA,Europe & Central Asia (excluding high income)
2030,58.28,ECA,Europe & Central Asia (excluding high income)
2031,58.62,ECA,Europe & Central Asia (excluding high income)
2032,58.97,ECA,Europe & Central Asia (excluding high income)
2033,59.33,ECA,Europe & Central Asia (excluding high income)
2034,59.69,ECA,Europe & Central Asia (excluding high income)
2035,60.05,ECA,Europe & Central Asia (excluding high income)
2036,60.42,ECA,Europe & Central Asia (excluding high income)
2037,60.79,ECA,Europe & Central Asia (excluding high income)
2038,61.16,ECA,Europe & Central Asia (excluding high income)
2039,61.53,ECA,Europe & Central Asia (excluding high income)
2040,61.9,ECA,Europe & Central Asia (excluding high income)
2024,52.2,ECS,Europe & Central Asia
2025,54.03,ECS,Europe & Central Asia
2026,55.79,ECS,Europe & Central Asia
2027,56.08,ECS,Europe & Central Asia
2028,56.41,ECS,Europe & Central Asia
2029,56.8,ECS,Europe & Central Asia
2030,57.18,ECS,Europe & Central Asia
2031,57.57,ECS,Europe & Central Asia
2032,57.96,ECS,Europe & Central Asia
2033,58.35,ECS,Europe & Central Asia
2034,58.75,ECS,Europe & Central Asia
2035,59.15,ECS,Europe & Central Asia
2036,59.56,ECS,Europe & Central Asia
2037,59.97,ECS,Europe & Central Asia
2038,60.38,ECS,Europe & Central Asia
2039,60.79,ECS,Europe & Central Asia
2040,61.21,ECS,Europe & Central Asia
2024,58.36,ECU,Ecuador
2025,58.94,ECU,Ecuador
2026,58.82,ECU,Ecuador
2027,59.24,ECU,Ecuador
2028,59.39,ECU,Ecuador
2029,59.73,ECU,Ecuador
2030,60.07,ECU,Ecuador
2031,60.41,ECU,Ecuador
2032,60.76,ECU,Ecuador
2033,61.13,ECU,Ecuador
2034,61.49,ECU,Ecuador
2035,61.86,ECU,Ecuador
2036,62.23,ECU,Ecuador
2037,62.6,ECU,Ecuador
2038,62.97,ECU,Ecuador
2039,63.34,ECU,Ecuador
2040,63.72,ECU,Ecuador
2024,37.94,EGY,"Egypt, Arab Rep."
2025,37.06,EGY,"Egypt, Arab Rep."
2026,39.03,EGY,"Egypt, Arab Rep."
2027,47.85,EGY,"Egypt, Arab Rep."
2028,59.46,EGY,"Egypt, Arab Rep."
2029,59.78,EGY,"Egypt, Arab Rep."
2030,60.11,EGY,"Egypt, Arab Rep."
2031,60.44,EGY,"Egypt, Arab Rep."
2032,60.78,EGY,"Egypt, Arab Rep."
2033,61.13,EGY,"Egypt, Arab Rep."
2034,61.48,EGY,"Egypt, Arab Rep."
2035,61.84,EGY,"Egypt, Arab Rep."
2036,62.19,EGY,"Egypt, Arab Rep."
2037,62.55,EGY,"Egypt, Arab Rep."
2038,62.92,EGY,"Egypt, Arab Rep."
2039,63.28,EGY,"Egypt, Arab Rep."
2040,63.65,EGY,"Egypt, Arab Rep."
2024,54.48,EMU,Euro area
2025,55.4,EMU,Euro area
2026,55.75,EMU,Euro area
2027,56.13,EMU,Euro area
2028,56.57,EMU,Euro area
2029,56.98,EMU,Euro area
2030,57.38,EMU,Euro area
2031,57.79,EMU,Euro area
2032,58.2,EMU,Euro area
2033,58.61,EMU,Euro area
2034,59.03,EMU,Euro area
2035,59.44,EMU,Euro area
2036,59.86,EMU,Euro area
2037,60.28,EMU,Euro area
2038,60.7,EMU,Euro area
2039,61.12,EMU,Euro area
2040,61.55,EMU,Euro area
2024,5.71,ERI,Eritrea
2025,5.71,ERI,Eritrea
2026,5.71,ERI,Eritrea
2027,5.71,ERI,Eritrea
2028,5.71,ERI,Eritrea
2029,62.74,ERI,Eritrea
2030,63.13,ERI,Eritrea
2031,63.52,ERI,Eritrea
2032,63.9,ERI,Eritrea
2033,64.28,ERI,Eritrea
2034,64.66,ERI,Eritrea
2035,65.03,ERI,Eritrea
2036,65.4,ERI,Eritrea
2037,65.76,ERI,Eritrea
2038,66.12,ERI,Eritrea
2039,66.48,ERI,Eritrea
2040,66.83,ERI,Eritrea
2024,54.05,ESP,Spain
2025,55.26,ESP,Spain
2026,55.63,ESP,Spain
2027,56.26,ESP,Spain
2028,56.64,ESP,Spain
2029,57.01,ESP,Spain
2030,57.39,ESP,Spain
2031,57.77,ESP,Spain
2032,58.15,ESP,Spain
2033,58.54,ESP,Spain
2034,58.93,ESP,Spain
2035,59.32,ESP,Spain
2036,59.72,ESP,Spain
2037,60.13,ESP,Spain
2038,60.53,ESP,Spain
2039,60.94,ESP,Spain
2040,61.35,ESP,Spain
2024,63.82,EST,Estonia
2025,63.49,EST,Estonia
2026,59.71,EST,Estonia
2027,54.82,EST,Estonia
2028,55.52,EST,Estonia
2029,55.89,EST,Estonia
2030,56.27,EST,Estonia
2031,56.65,EST,Estonia
2032,57.03,EST,Estonia
2033,57.42,EST,Estonia
2034,57.82,EST,Estonia
2035,58.22,EST,Estonia
2036,58.62,EST,Estonia
2037,59.02,EST,Estonia
2038,59.43,EST,Estonia
2039,59.83,EST,Estonia
2040,60.24,EST,Estonia
2024,86.15,ETH,Ethiopia
2025,82.17,ETH,Ethiopia
2026,74.91,ETH,Ethiopia
2027,60.87,ETH,Ethiopia
2028,61.06,ETH,Ethiopia
2029,61.38,ETH,Ethiopia
2030,61.71,ETH,Ethiopia
2031,62.04,ETH,Ethiopia
2032,62.37,ETH,Ethiopia
2033,62.71,ETH,Ethiopia
2034,63.06,ETH,Ethiopia
2035,63.42,ETH,Ethiopia
2036,63.78,ETH,Ethiopia
2037,64.14,ETH,Ethiopia
2038,64.5,ETH,Ethiopia
2039,64.86,ETH,Ethiopia
2040,65.23,ETH,Ethiopia
2024,55.23,EUU,European Union
2025,55.79,EUU,European Union
2026,55.7,EUU,European Union
2027,56.08,EUU,European Union
2028,56.54,EUU,European Union
2029,56.94,EUU,European Union
2030,57.35,EUU,European Union
2031,57.75,EUU,European Union
2032,58.16,EUU,European Union
2033,58.57,EUU,European Union
2034,58.98,EUU,European Union
2035,59.4,EUU,European Union
2036,59.81,EUU,European Union
2037,60.24,EUU,European Union
2038,60.66,EUU,European Union
2039,61.09,EUU,European Union
2040,61.52,EUU,European Union
2024,74.57,FCS,Fragile and conflict affected situations
2025,69.6,FCS,Fragile and conflict affected situations
2026,60.47,FCS,Fragile and conflict affected situations
2027,60.59,FCS,Fragile and conflict affected situations
2028,60.79,FCS,Fragile and conflict affected situations
2029,61.11,FCS,Fragile and conflict affected situations
2030,61.44,FCS,Fragile and conflict affected situations
2031,61.77,FCS,Fragile and conflict affected situations
2032,62.11,FCS,Fragile and conflict affected situations
2033,62.44,FCS,Fragile and conflict affected situations
2034,62.78,FCS,Fragile and conflict affected situations
2035,63.13,FCS,Fragile and conflict affected situations
2036,63.48,FCS,Fragile and conflict affected situations
2037,63.84,FCS,Fragile and conflict affected situations
2038,64.21,FCS,Fragile and conflict affected situations
2039,64.57,FCS,Fragile and conflict affected situations
2040,64.94,FCS,Fragile and conflict affected situations
2024,64.14,FIN,Finland
2025,60.82,FIN,Finland
2026,54.17,FIN,Finland
2027,43.04,FIN,Finland
2028,43.64,FIN,Finland
2029,44.08,FIN,Finland
2030,44.52,FIN,Finland
2031,44.96,FIN,Finland
2032,45.4,FIN,Finland
2033,45.85,FIN,Finland
2034,46.29,FIN,Finland
2035,46.74,FIN,Finland
2036,47.19,FIN,Finland
2037,47.63,FIN,Finland
2038,48.05,FIN,Finland
2039,48.44,FIN,Finland
2040,48.78,FIN,Finland
2024,5.71,FJI,Fiji
2025,5.71,FJI,Fiji
2026,5.71,FJI,Fiji
2027,5.71,FJI,Fiji
2028,5.71,FJI,Fiji
2029,59.83,FJI,Fiji
2030,60.22,FJI,Fiji
2031,60.61,FJI,Fiji
2032,60.99,FJI,Fiji
2033,61.36,FJI,Fiji
2034,61.73,FJI,Fiji
2035,62.1,FJI,Fiji
2036,62.46,FJI,Fiji
2037,62.82,FJI,Fiji
2038,63.17,FJI,Fiji
2039,63.52,FJI,Fiji
2040,63.87,FJI,Fiji
2024,50.89,FRA,France
2025,52.35,FRA,France
2026,53.46,FRA,France
2027,55.3,FRA,France
2028,55.86,FRA,France
2029,56.31,FRA,France
2030,56.76,FRA,France
2031,57.21,FRA,France
2032,57.66,FRA,France
2033,58.11,FRA,France
2034,58.57,FRA,France
2035,59.02,FRA,France
2036,59.48,FRA,France
2037,59.93,FRA,France
2038,60.38,FRA,France
2039,60.81,FRA,France
2040,61.21,FRA,France
2024,5.71,FRO,Faroe Islands
2025,5.71,FRO,Faroe Islands
2026,5.71,FRO,Faroe Islands
2027,5.71,FRO,Faroe Islands
2028,5.71,FRO,Faroe Islands
2029,64.2,FRO,Faroe Islands
2030,64.61,FRO,Faroe Islands
2031,65.01,FRO,Faroe Islands
2032,65.41,FRO,Faroe Islands
2033,65.81,FRO,Faroe Islands
2034,66.2,FRO,Faroe Islands
2035,66.59,FRO,Faroe Islands
2036,66.97,FRO,Faroe Islands
2037,67.34,FRO,Faroe Islands
2038,67.71,FRO,Faroe Islands
2039,68.08,FRO,Faroe Islands
2040,68.44,FRO,Faroe Islands
2024,5.71,FSM,"Micronesia, Fed. Sts."
2025,5.71,FSM,"Micronesia, Fed. Sts."
2026,5.71,FSM,"Micronesia, Fed. Sts."
2027,5.71,FSM,"Micronesia, Fed. Sts."
2028,5.71,FSM,"Micronesia, Fed. Sts."
2029,59.68,FSM,"Micronesia, Fed. Sts."
2030,60.06,FSM,"Micronesia, Fed. Sts."
2031,60.45,FSM,"Micronesia, Fed. Sts."
2032,60.82,FSM,"Micronesia, Fed. Sts."
2033,61.2,FSM,"Micronesia, Fed. Sts."
2034,61.57,FSM,"Micronesia, Fed. Sts."
2035,61.93,FSM,"Micronesia, Fed. Sts."
2036,62.29,FSM,"Micronesia, Fed. Sts."
2037,62.65,FSM,"Micronesia, Fed. Sts."
2038,63.0,FSM,"Micronesia, Fed. Sts."
2039,63.35,FSM,"Micronesia, Fed. Sts."
2040,63.69,FSM,"Micronesia, Fed. Sts."
2024,86.26,GAB,Gabon
2025,82.13,GAB,Gabon
2026,74.68,GAB,Gabon
2027,60.15,GAB,Gabon
2028,60.33,GAB,Gabon
2029,60.66,GAB,Gabon
2030,61.0,GAB,Gabon
2031,61.34,GAB,Gabon
2032,61.68,GAB,Gabon
2033,62.03,GAB,Gabon
2034,62.39,GAB,Gabon
2035,62.75,GAB,Gabon
2036,63.12,GAB,Gabon
2037,63.49,GAB,Gabon
2038,63.86,GAB,Gabon
2039,64.23,GAB,Gabon
2040,64.6,GAB,Gabon
2024,51.64,GBR,United Kingdom
2025,53.98,GBR,United Kingdom
2026,55.95,GBR,United Kingdom
2027,58.88,GBR,United Kingdom
2028,59.29,GBR,United Kingdom
2029,59.74,GBR,United Kingdom
2030,60.2,GBR,United Kingdom
2031,60.66,GBR,United Kingdom
2032,61.12,GBR,United Kingdom
2033,61.58,GBR,United Kingdom
2034,62.05,GBR,United Kingdom
2035,62.51,GBR,United Kingdom
2036,62.97,GBR,United Kingdom
2037,63.43,GBR,United Kingdom
2038,63.88,GBR,United Kingdom
2039,64.29,GBR,United Kingdom
2040,64.67,GBR,United Kingdom
2024,59.49,GEO,Georgia
2025,58.74,GEO,Georgia
2026,58.09,GEO,Georgia
2027,56.86,GEO,Georgia
2028,57.23,GEO,Georgia
2029,57.56,GEO,Georgia
2030,57.89,GEO,Georgia
2031,58.24,GEO,Georgia
2032,58.59,GEO,Georgia
2033,58.95,GEO,Georgia
2034,59.3,GEO,Georgia
2035,59.66,GEO,Georgia
2036,60.03,GEO,Georgia
2037,60.39,GEO,Georgia
2038,60.76,GEO,Georgia
2039,61.13,GEO,Georgia
2040,61.5,GEO,Georgia
2024,70.76,GHA,Ghana
2025,68.1,GHA,Ghana
2026,64.82,GHA,Ghana
2027,60.3,GHA,Ghana
2028,60.49,GHA,Ghana
2029,60.83,GHA,Ghana
2030,61.17,GHA,Ghana
2031,61.53,GHA,Ghana
2032,61.89,GHA,Ghana
2033,62.25,GHA,Ghana
2034,62.62,GHA,Ghana
2035,62.99,GHA,Ghana
2036,63.36,GHA,Ghana
2037,63.73,GHA,Ghana
2038,64.1,GHA,Ghana
2039,64.48,GHA,Ghana
2040,64.86,GHA,Ghana
2024,5.71,GIB,Gibraltar
2025,5.71,GIB,Gibraltar
2026,5.71,GIB,Gibraltar
2027,5.71,GIB,Gibraltar
2028,5.71,GIB,Gibraltar
2029,56.04,GIB,Gibraltar
2030,56.42,GIB,Gibraltar
2031,56.8,GIB,Gibraltar
2032,57.17,GIB,Gibraltar
2033,57.53,GIB,Gibraltar
2034,57.89,GIB,Gibraltar
2035,58.25,GIB,Gibraltar
2036,58.6,GIB,Gibraltar
2037,58.95,GIB,Gibraltar
2038,59.3,GIB,Gibraltar
2039,59.63,GIB,Gibraltar
2040,59.97,GIB,Gibraltar
2024,5.71,GIN,Guinea
2025,5.71,GIN,Guinea
2026,5.71,GIN,Guinea
2027,5.71,GIN,Guinea
2028,5.71,GIN,Guinea
2029,59.49,GIN,Guinea
2030,59.88,GIN,Guinea
2031,60.26,GIN,Guinea
2032,60.63,GIN,Guinea
2033,61.01,GIN,Guinea
2034,61.37,GIN,Guinea
2035,61.74,GIN,Guinea
2036,62.1,GIN,Guinea
2037,62.45,GIN,Guinea
2038,62.8,GIN,Guinea
2039,63.15,GIN,Guinea
2040,63.49,GIN,Guinea
2024,5.71,GMB,"Gambia, The"
2025,5.71,GMB,"Gambia, The"
2026,5.71,GMB,"Gambia, The"
2027,5.71,GMB,"Gambia, The"
2028,5.71,GMB,"Gambia, The"
2029,59.44,GMB,"Gambia, The"
2030,59.82,GMB,"Gambia, The"
2031,60.2,GMB,"Gambia, The"
2032,60.58,GMB,"Gambia, The"
2033,60.95,GMB,"Gambia, The"
2034,61.31,GMB,"Gambia, The"
2035,61.68,GMB,"Gambia, The"
2036,62.04,GMB,"Gambia, The"
2037,62.39,GMB,"Gambia, The"
2038,62.74,GMB,"Gambia, The"
2039,63.08,GMB,"Gambia, The"
2040,63.43,GMB,"Gambia, The"
2024,5.71,GNB,Guinea-Bissau
2025,5.71,GNB,Guinea-Bissau
2026,5.71,GNB,Guinea-Bissau
2027,5.71,GNB,Guinea-Bissau
2028,5.71,GNB,Guinea-Bissau
2029,59.44,GNB,Guinea-Bissau
2030,59.83,GNB,Guinea-Bissau
2031,60.21,GNB,Guinea-Bissau
2032,60.59,GNB,Guinea-Bissau
2033,60.96,GNB,Guinea-Bissau
2034,61.32,GNB,Guinea-Bissau
2035,61.69,GNB,Guinea-Bissau
2036,62.04,GNB,Guinea-Bissau
2037,62.4,GNB,Guinea-Bissau
2038,62.75,GNB,Guinea-Bissau
2039,63.09,GNB,Guinea-Bissau
2040,63.43,GNB,Guinea-Bissau
2024,48.96,GNQ,Equatorial Guinea
2025,49.97,GNQ,Equatorial Guinea
2026,52.23,GNQ,Equatorial Guinea
2027,55.83,GNQ,Equatorial Guinea
2028,60.51,GNQ,Equatorial Guinea
2029,60.85,GNQ,Equatorial Guinea
2030,61.19,GNQ,Equatorial Guinea
2031,61.54,GNQ,Equatorial Guinea
2032,61.89,GNQ,Equatorial Guinea
2033,62.25,GNQ,Equatorial Guinea
2034,62.62,GNQ,Equatorial Guinea
2035,62.99,GNQ,Equatorial Guinea
2036,63.36,GNQ,Equatorial Guinea
2037,63.73,GNQ,Equatorial Guinea
2038,64.11,GNQ,Equatorial Guinea
2039,64.48,GNQ,Equatorial Guinea
2040,64.86,GNQ,Equatorial Guinea
2024,55.03,GRC,Greece
2025,55.88,GRC,Greece
2026,56.2,GRC,Greece
2027,56.13,GRC,Greece
2028,56.48,GRC,Greece
2029,56.84,GRC,Greece
2030,57.2,GRC,Greece
2031,57.56,GRC,Greece
2032,57.92,GRC,Greece
2033,58.29,GRC,Greece
2034,58.67,GRC,Greece
2035,59.06,GRC,Greece
2036,59.44,GRC,Greece
2037,59.83,GRC,Greece
2038,60.22,GRC,Greece
2039,60.61,GRC,Greece
2040,61.01,GRC,Greece
2024,5.71,GRD,Grenada
2025,5.71,GRD,Grenada
2026,5.71,GRD,Grenada
2027,5.71,GRD,Grenada
2028,5.71,GRD,Grenada
2029,60.25,GRD,Grenada
2030,60.65,GRD,Grenada
2031,61.03,GRD,Grenada
2032,61.42,GRD,Grenada
2033,61.8,GRD,Grenada
2034,62.17,GRD,Grenada
2035,62.54,GRD,Grenada
2036,62.91,GRD,Grenada
2037,63.27,GRD,Grenada
2038,63.63,GRD,Grenada
2039,63.98,GRD,Grenada
2040,64.33,GRD,Grenada
2024,5.71,GRL,Greenland
2025,5.71,GRL,Greenland
2026,5.71,GRL,Greenland
2027,5.71,GRL,Greenland
2028,5.71,GRL,Greenland
2029,63.39,GRL,Greenland
2030,63.8,GRL,Greenland
2031,64.2,GRL,Greenland
2032,64.6,GRL,Greenland
2033,65.0,GRL,Greenland
2034,65.38,GRL,Greenland
2035,65.77,GRL,Greenland
2036,66.15,GRL,Greenland
2037,66.52,GRL,Greenland
2038,66.89,GRL,Greenland
